url,snorkel_label
https://www.mediafax.ro/politic/un-senator-rus-doreste-includerea-pe-lista-de-sanctiuni-a-unor-diplomati-americani-de-rang-inalt-14690980,1
https://primanews.ro/stiri/pe-pnl-propune-o-echipa-de-lideri-tineri-in-fruntea-comunitatilor-locale-21619214,0
https://stirileprotv.ro/stiri/politic/surse-alexandru-rafila-va-fi-propunerea-de-premier-a-psd-a-fost-votat-in-unanimitate.html,0
https://recorder.ro/stirile-zilei/26-aprilie-2024-inca-o-incercare-candidatura-oficializata-a-gabrielei-firea-la-pmb/,1
https://primanews.ro/stiri/george-simion-isi-recunoaste-infrangerea-si-il-felicita-pe-nicusor-dan-pentru-castigarea-alegerilor-a-fost-vointa-poporului-roman-22037654,0
https://www.cotidianul.ro/deputat-aur-femeia-cauta-un-barbat-care-s-o-stapaneasca/,1
https://www.antena3.ro/politica/alegeri-prezidentiale-2025/lavinia-sandru-lectie-de-viata-din-romania-profunda-oamenii-care-nu-renunta-sunt-adevarata-forta-a-tarii-736480.html,2
https://adevarul.ro/politica/un-consultant-politic-al-lui-george-simion-anunta-2161819.html,1
https://www.antena3.ro/politica/gabriela-firea-politica-de-sanatate-guvern-585667.html,2
https://www.antena3.ro/politica/crin-antonescu-si-a-lansat-primul-clip-de-campanie-romania-e-un-avion-in-picaj-736195.html,1
https://www.realitatea.net/stiri/politica/marcel-ciolacu-despre-plafonarea-preturilor-la-energie-si-gaze-si-dupa-1-aprilie-este-o-certitudine-ca-ii-vom-ajuta-in-continuare-pe-romani_6780dfa55629da318474aee2,1
https://www.mediafax.ro/politic/pnl-i-a-retras-sprijinul-politic-presedintelui-cj-constanta-urmarit-penal-de-dna-21991541,1
https://www.luju.ro/vicol-face-pasul-inapoi-deputata-psd-laura-vicol-a-demisionat-de-la-presedintia-comisiei-juridice-din-camera-deputatilor-gestul-vine-dupa-dezvaluirea-de-presa-privind-posibilele-nereguli-in-care-este-implicata-firma-imobiliara-nordis-condusa-de-sotul-depu,1
https://a1.ro/news/politic/psd-miron-mitrea-sef-de-campanie-pe-bucuresti-id37575.html,1
https://www.cotidianul.ro/baptistului-peter-costea-i-s-a-furat-partidul-arn/,1
https://www.antena3.ro/politica/claudiu-tarziu-face-precizari-despre-noua-sa-formatiune-politica-primele-declaratii-dupa-ce-s-a-rupt-de-aur-742333.html,1
https://www.realitatea.net/stiri/politica/nistorescu-editorial-11-abuzuri-sri-cu-aprobarea-csat_5dcc9245406af85273d51779,2
https://www.aktual24.ro/lasconi-in-niciun-caz-usr-nu-va-vota-un-guvern-condus-de-marian-neacsu-el-este-condamnat-penal-sa-ne-intelegem/,0
https://www.digi24.ro/stiri/actualitate/politica/calin-georgescu-amenintare-voalata-la-adresa-magistratilor-si-politicienilor-inevitabilul-e-inevitabil-3070621,1
https://www.digi24.ro/stiri/actualitate/politica/traian-basescu-mesaj-ironic-catre-ciolacu-poate-asta-ii-reuseste-3186585,1
https://www.comisarul.ro/articol/catalin-predoiu-numit-premier-interimar-de-ilie-bo_1578859.html,1
https://observatornews.ro/politic/nicusor-dan-daca-vine-un-cutremur-o-sa-fie-rau-teoretic-blocurile-noi-respecta-toate-cerintele-practic-nam-incredere-574930.html,0
https://www.romaniatv.net/pescobar-prima-reactie-dupa-ce-nicusor-dan-a-castigat-alegerile-ce-mesaj-ii-transmite-noului-presedinte-sa-l-purtati-pe-dumnezeu-in-toate-deciziile_8936062.html,0
https://recorder.ro/stirile-zilei/23-octombrie-2024-blat-psd-aur-pentru-turul-al-doilea/,1
https://www.cotidianul.ro/politicienii-liberali-trimit-banii-lor-in-contul-psd/,1
https://www.g4media.ro/snoop-campania-pnl-de-pe-tiktok-ajunsa-sa-l-sustina-pe-georgescu-a-fost-ideea-lui-rares-bogdan.html,1
https://agerpres.ro/politic/2025/02/04/parlament-buget-2025-bugetul-mai---aviz-favorabil-in-comisiile-de-specialitate--1419233,1
https://agerpres.ro/politic/2025/01/08/simion-nu-cred-ca-alegerile-prezidentiale-vor-fi-organizate-pe-4-si-18-mai-pana-nu-vad-hotararea-de---1410983,1
