url,cleantext,label
https://www.cotidianul.ro/bolojan-validat-presedinte-interimar/,"Comentarii Precizare: Ziarul Cotidianul își propune să găzduiască informații și puncte de vedere diverse și contradictorii. Publicația roagă cititorii să evite atacurile la persoană, vulgaritățile, atitudinile extremiste, antisemite, rasiste sau discriminatorii. De asemenea, invită cititorii să comenteze subiectele articolelor sau să se exprime doar pe seama aspectelor importante din viața lor si a societății, folosind un limbaj îngrijit, într-un spațiu de o dimensiune rezonabilă. Am fi de-a dreptul bucuroși ca unii comentatori să semneze cu numele lor sau cu pseudonime decente. Pentru acuratețea spațiului afectat, redacția va modera comentariile, renunțînd la cele pe care le consideră nepotrivite.",unbiased
https://www.realitatea.net/stiri/politica/bec-anunta-prima-respingere-a-unei-candidaturi-la-functia-de-presedinte-al-romaniei_67ca9c6ac0e65b413232b4d2,", a precizat BEC. Petru Mîndru a transmis prin e-mail la Biroul Electoral Central documentele privind candidatura sa. , a transmis BEC. De asemenea, au fost constatate și alte nereguli. , a mai precizat BEC. De asemenea, candidatul nu a depus la BEC semnul electoral cu care a intenționat să candideze. Decizia BEC poate fi contestată la Curtea Constituțională a României în termen de de ore.",unbiased
https://adevarul.ro/politica/gigi-becali-se-crede-alesul-lui-dumnezeu-834140.html,"Divinitatea l-a bagat in politica si i-a facut cadou, fara chitante si TVA, Gigi Becali a intrat in politica pentru ca luni, ianuarie, la ora , Dumnezeu i-a dat un semn. Doamne, ajuta-ma sa iau hotararea!Domnu. Atunci am spus ca asta este semnul de la Dumnezeu, am acceptat sa merg cu Partidul Noua Generatiezeci si sute de milioane de dolaricu stea in frunteDumnezeu mi-a ajutat. Am facut o avere pe care nici nu visam sa o acumulez. Cand ai zeci si sute de milioane de dolari, ori sunt cadou de la Dumnezeu, ori furi. Altfel nu se poate. Dumnezeu a vrut sa investesc la Steaua. (...) Acum - ani, cuvantul senator, deputat, ministru era nume sacru pentru mine. Am inceput sa inteleg ca si io pot, ca nu sunt oameni de mai mare calitate decat mine, pentru ca io sunt si patriot si iubesc si oameniiJur in fata lui Dumnezeu si a romanilor ca eu voi face totul ca sa ofer romanilor Romania!Am venit sa vad fenomenul politic care traieste in sensul lumii virtuale. Gigi Becali dintr-o realitate a unei Romanii realeCred in toti Gigii Becali din Romania, pentru ca si eu ma incadrez in aceasta categorie. Mi s-a sugestionat ca e o problema a studiilor. M-am saturat de profesori universitari, oameni cu - facultati, care nu au facut nimic pentru taraEste un roman curat, care sufera si e dominat de masura in toateSunt foarte multe similitudini intre Silvio Berlusconi si Gigi Becali. Amandoi sunt presedintii celor mai puternice cluburi de fotbal, sunt populari. Si intrarea in politica a lui Berlusconi a produs un impact la fel de maredemnTotul pentru tarapoliticTotul pentru taraBani! Cu bani se rezolva!Ba, tu iti bati joc de mine si de numele meu! Du-te-n mortii ma-tii! Du-te-n gatu Gigi Becali despre filozofia sa de viata: . Gigi Becali despre relatia sa cu autoritatile: . Gigi Becali despre Iordanescu: ; Cateva zile mai tarziu: ; A doua zi dupa : . Gigi Becali, despre schimbul de terenuri cu MAPN, din care a castigat milioane de dolari: .",biased
https://www.antena3.ro/politica/scandalul-locurilor-de-parlamentar-cumparate-in-aur-contabilul-partidului-isi-da-demisia-se-strange-latul-simioane-725095.html,"Scandalul din AUR ia amploare. Contabilul partidului și-a dat demisia, astăzi, după ce mai mulți membrii ai formațiunii au acuzat că li s-au cerut . de euro pentru un loc de deputat. În replică, Ringo Dămureanu, care a anunțat că va face un denunț în acest sens la DNA, a reacționat pe rețelele sociale afirmând. . Mai mult el a subliniat la Antena CNN că nu este de acord să cumpere un loc pe listă, un loc pe care îl merită pentru activitatea efectuată. , a scris Timotei Onoriu, contabilul șef din AUR, pe Facebook. De asemenea un alt parlamentar AUR, Antonio Andrușceac, candidat la Senat, a spus, în exclusivitate la Antena CNN că i s-au cerut . euro pentru campania la prezidențiale pentru George Simion. , a spus Antonio Andrușceac. După demisia contabilului, Ringo Dămureanu a reacționat pe Facebook afirmând: , a scris și Ringo Dămureanu pe Facebook. Ringo Dămureanu: , a spus Ringo Dămureanu, la Antena CNN. Cine este Timotei Onoriu, contabilul șef din AUR Potrivit lui Ringo Dămureanu, Timotei Onoriu, „a fost contabilul-șef și la precedentele alegeri europarlamentare și locale, prin mâna lui au trecut toți banii. Ați văzut că Autoritate Electorală Permanentă a aplicat o amendă foarte mare, vreo milioane de lei, dacă nu greșesc, partidul lui AUR, iar el știe foarte bine că schema legală este aceea transparentă prin care fiecare candidat trebuie să-și pună bani în contul de campanie deschis în perioada campaniei, potrivit legii și reglementărilor AEP. Vă dau informație absolut în premieră națională. Cine nu a mai fost acceptat să candideze i s-a respins donația. Dacă ați mai auzit până acum așa ceva, i s-a returnat donația fără ca omul respectiv să-și ceară banii înapoi. Ce înseamnă asta? La ce concluzie conduce? Că este condiționată donația de candidatură sau nu? Luni să știți că vor fi mai multe voci care vor prezenta în Parlament ceea ce se întâmplă. Este foarte bine și dacă partidul AUR mă acționează pe mine în judecată, pentru că lucrurile trebuie să iasă la iveală. Și cred că și mai bine dacă toți oamenii din țară care mă sună și pe mine și mă rog, vorbesc și pe la diferite posturi să facă denunțuri, potrivit legii, pentru că aceste lucruri trebuie lămurite, iată demisia lui Onoriu cred că este un semnal de alarmă foarte important"", a mai spus Ringo Dămureanu, la Antena CNN.",biased
https://recorder.ro/prima-zi-de-parlament-prima-zi-de-golaneala-basescu-a-fost-prins-in-timp-ce-i-trimitea-o-poza-elenei-udrea-din-bancile-senatului/,"Au intrat noii parlamentari în pâine! Și ce credeți, că s-au apucat de treabă? Haida-de! Își fac selfiuri, se iau după gât, stau la caterincă, îi doare în cur de țară. Băsescu – și el printre ei, așa boșorog cum e, își face poze și trimite la bagaboante. După zece ani ca președinte al țării, “Chiorul, i-a scris Băsescu și i-a dat pe “send în el, se vede că a fost pe vapor). Un fotograf de la News.ro a focalizat de la balcon și a pozat toată tărășenia. L-a făcut de râs, ce să mai! Contactat de presă, Băsescu a dat-o la întors, ce să mai zică și el? “Ea m-a sunat să mă întrebe cum mă simt și eu i-am spus . Chiar ne luați de proști, domnu’ președinte? Lăsați-o jos, că macăne!",biased
https://www.mediafax.ro/politic/elena-lasconi-categoric-nu-ma-retrag-din-cursa-prezidentiala-23538401,"Liderii USR au decis să-și retragă oficial susținerea pentru Elena Lasconi în cursa prezidențială și să-și îndrepte atenția către candidatul independent Nicușor Dan, care ocupă, la acest moment, locul în sondajele prezidențiale. Elena Lasconi a făcut, în decursul zilei de miercuri, declarații publice în urma hotărârii USR-ului de a-și retrage susținerea pentru aceasta. Ea a anunțat că nu se retrage din cursa pentru prezidențiale. , spune ea și adaugă că ar spune și despre , nu doar de Nicușor Dan. Elena Lasconi: Candidata la prezidențiale a criticat decizia USR-ului. Lasconi: Ea spune că nu are nevoie de bani de la partid pentru campanie. , adaugă Lasconi. Întrebată dacă se poate spune despre Nicușor Dan este , ea spune: . Liderii USR au decis convocarea unei ședințe a Consiliului Politic în care să se decidă retragerea sprijinului pentru Elena Lasconi și susținerea lui Nicușor Dan la prezidențiale.",biased
https://www.g4media.ro/video-cine-i-seful-in-aur-gigi-becali-contre-cu-george-simion-pe-influenta-becali-nu-poate-sa-fie-niciodata-simion-seful-meu-eu-sunt-imparatul-partidului-aur-simion.html,"Gigi Becali, deputat AUR, și George Simion, șeful partidului, au înregistrat un schimb tăios de replici marți, referitor la cine domină pe cine în cadrul partidului. Becali a spus despre el însuși că este , în timp ce Simion e și i-a transmis că nu s-a născut încă persoana care să îl certe. Becali răspundea astfel întrebării moderatoarei Antena care a vrut să afle dacă patronul FCSB a fost mustrat de Simion pentru că a făcut declarații împotriva lui Călin Georgescu (de la minutul :, în video de mai jos): , a declarat deputatul AUR. Becali a infirmat, la Antena , zvonurile conform cărora ar vrea să rupă o facțiune din partidul AUR și să-și facă propriul partid și a negat orice ruptură în partid: , a spus Becali. Gigi Becali spune că l-a avertizat pe Simion cu privire la pericolul pe care îl reprezintă Călin Georgescu: , a spus Gigi Becali despre Călin Georgescu. Gigi Becali a declarat recent că George Simion va candida la alegerile prezidențiale din mai și spune momentan că îl susține pe Călin Georgescu și pentru că . Gigi Becali susține că se opune vehement susținerii candidaturii lui Călin Georgescu la alegerile prezidențiale, că l-a cunoscut și că a întrerupt comunicarea cu acesta și l-a blocat pe telefon după ce candidatul pro-rus cu discurs legionar i-a trimis un cântec cu versuri antisemite: , a declarat Gigi Becali. În replică, Simion a avut o reacție dură spunând că : , i-a răspuns George Simion lui Gigi Becali, într-un clip publicat pe Tik Tokcandidatul globaliștilorglobaliștii vor învingeAșadar, ne-am lămurit, candidatul globaliștilor este Nicușor Dan. Să vedem cine va fi cel al suveraniștilor. Călin Georgescu continuă să fie vânat de și de neprieteni și riscă să fie eliminat din cursă. O nu se întrevede la orizont. Și pentru că însuși Călin Georgescu nu concepe să existe una. E de înțeles, de altfel. Dar fără un plan , globaliștii vor învinge”. Context G4Media a arătat în exclusivitate în ianuarie cum Alianța pentru Unirea Românilor (AUR) este în pragul scindării, după ce relațiile dintre George Simion și Claudiu Târziu s-au răcit considerabil, au declarat pentru G4Media.ro surse de la vârful partidului. Potrivit acestora, Târziu, numărul doi din partid, intenționează să ceară un Congres Extraordinar care să ducă la un nou raport de forțe la vârful formațiunii, din cauza modului discreționar în care Simion ar conduce AUR. Citește detalii aici.",biased
https://agerpres.ro/politic/2025/05/18/prezidentiale2025-dincu-este-prima-duminica-de-alegeri-fara-psd-oamenii-de-stanga-nu-au-un-candidat--1450240,"Europarlamentarul social-democrat Vasile Dîncu afirmă că este prima duminică de alegeri fără PSD, prima duminică în care oamenii de stânga din România nu au un candidat pe buletinul de vot. , a scris Dîncu pe Facebook. El a adăugat că PSD a greșit atunci când a crezut că poate înlocui proiectele și viziunea cu strategii de moment, atunci când a preferat . , a mai afirmat acesta. Dîncu a spus că mulți oameni l-au întrebat în ultimele zile care este linia partidului, . , a subliniat europarlamentarul. AGERPRES/(AS - redactor: Dana Piciu, editor: Florin Marin, editor online: Ada Vîlceanu) Citiți și:",unbiased
https://www.realitatea.net/stiri/politica/calin-georgescu-interviu-exploziv-pentru-presa-din-sua-a-fost-o-lovitura-de-stat-comandata-din-strainatate-se-urmareste-divizarea-nato_678747b75f917c4f793d32c9,"Alex Jones, jurnalist: Lui Călin Georgescu i s-a furat victoria. El este președintele de drept al României. Nici măcar nu neagă nimeni că i-a fost furată victoria din mâinile sale și ale poporului. Călin, îți mulțumesc foarte mult pentru timpul acordat. Te apreciem foarte mult. Călin Georgescu: Mulțumesc, mulțumesc foarte mult. Alex, mulțumesc pentru invitația de astăzi. Apreciez foarte mult introducerea pe care mi-ai făcut-o. Este uimitoare, în spiritul poporului român. Acesta este cel mai important punct cu privire la această națiune măreață și istorică. Sunt foarte mândru să fiu parte din poporul român. Sunt foarte mândru că sunt român. Totuși, trebuie să avem grijă de umanitatea noastră. Cred că acesta este cel mai important aspect al jocului. Alex, cred că România a demonstrat în ultima lună, fiindcă s-a împlinit o lună de la această din decembrie, că nu ne jucăm și ne căutăm libertatea, vrem să ne recăpătăm democrația și credem cu tărie în Dumnezeu și în glia noastră. Cred că este un precedent pentru toate națiunile care vor să fie libere. Cred că acesta este cel mai important lucru. :: În opinia mea, aceasta (anularea alegerilor - n.r.) creează un precedent periculos nu doar pentru România, ci pentru întreaga lume pentru că ei au distrus democrația, au anulat alegerile libere. În opinia mea, România este astăzi într-o pentru că mii și mii de oameni sunt în permanență pe străzi, non-stop. Poporul este conștient de faptul că totul a fost o lovitură de stat comandată de peste hotare și pusă în aplicare de sistemul globalist, de sistemul oligarhic din România. Avem confirmarea clară că în timpul campaniei mele am promovat constant pacea, pacea în regiune și oprirea de urgență a războiului din Ucraina. Jurnalist: Aceasta era următoarea mea întrebare. De ce sunt atât de speriați de dumneavoastră? Vă cunosc, știu de ce sunt speriați. Nu sunteți vreun spion rus. Ați fost și sunteți un anti-globalist, creștin, pro-oameni, un insider (a lucrat în instituții cheie - n.r.). Ăsta e unul dintre punctele la care vreau să ajung, legat de cum ați ajuns în top. Vă rog, continuați! Călin Georgescu: Da. Bineînțeles, nu am nimic de-a face cu Rusia. Nu cunosc niciun rus, doar câțiva care sunt oameni de știință. Nu am nimic de-a face cu politicienii din Rusia. Nu știu pe nimeni acolo. Bineînțeles, totul a fost demonstrat deja cu privire la aceste aspecte. Ideea este că ei (politicienii români - n.r.) sunt în alertă, îi alarmează cuvântul . Asta pentru că au nevoie de război. Este atât de simplu. Uniunea Europeană este arma politică a globaliștilor și NATO este cea militară. Mai mult decât atât, Ursula von der Leyen a fost implicată (în anularea alegerilor - n.r.). De asemenea, avem dovezi despre conversațiile unor membri ai PNL, avem dovezi despre asta. Sunt disperați de ideea că cineva ca mine ar putea opri războiul din Ucraina. Pentru că aceasta este cea mai importantă parte din schema care a expus corupția, ceea ce voiau să facă. Mai mult decât atât, vreau să vă spun că am descoperit, vă spun oficial, că NATO a preluat conducerea militară de la SUA în ceea ce privește sprijinirea și ajutorul Ucrainei. Cu alte cuvinte, cel mai important aspect pe care vreau să îl subliniez este că NATO se uită la noi ca și cum am fi divizați în două părți. Pentru că președintele Trump caută pacea. Corect? A spus asta mereu. Ei vor să facă ceva diferit, în sensul că vor să dividă NATO, astfel încât NATO să fie susținută de Uniunea Europeană pentru a obține controlul asupra situației din Ucraina. Acesta este un aspect foarte periculos. Dacă ei fac asta, pot să spun că e o situație dramatică. Uitați-vă, vor să facă asta înainte ca Trump să fie numit oficial președinte.",biased
https://www.gandul.ro/politica/marcel-ciolacu-despre-scandalul-de-la-jo-2024-este-cazul-sa-depasim-acest-moment-premierul-anunta-proiecte-majore-in-infrastructura-sportiva-20273946,"Premierul Marcel Ciolacu se arată nemulțumit de situația de la Jocurile Olimpice 2024, după cazul româncei căreia i s-a retras medalia, și spune că a decis să nu participe la ceremonia de închidere de la Paris. El afirmă că . Întrebat cum comentează situația din sportul românesc actual, premierul a subliniat că poziția sa este aceea pe care a relatat-o în scris. Exact cum am scris. Am văzut că ieșirea publică a avut ecouri atât internaționale, cât și în interiorul țării și cred că abordarea a fost una corectă. România a avut mereu pe cineva care să ne ia un drept. Cred că este cazul să depășim acest moment, mai ales că vorbim de niște copii, explică Ciolacu. Premierul a fost întrebat și despre starea echipei de gimnastică și investițiile statului în sporturi. El a confirmat că echipa de gimnastică este antrenată de un specialist din Olanda și că a vizitat echipa la Izvorani. În ceea ce privește investițiile, Ciolacu a menționat că la fiecare două săptămâni există un proiect major în infrastructura sportului Ce pot să vă spun eu este că la fiecare două săptămâni avem un proiect major în infrastructura sportului. Cred că și mâine am, așa cum am stabilit, cu doamna Lipă și cu domnul Covaliu, trecem și investiția de la Izvorani, indică el. Premierul a mai fost întrebat despre situația din Buzău, unde nu există un bazin de înot în ciuda faptului că David Popovici este campion olimpic. Știți povestea bazinului de înot? Primarul a depus deja proiectul la CNI, afirmă șeful Executivului. România a pierdut medalia de bronz la gimnastică la JO, după contestația SUA Reacția lui Marcel Ciolacu vine după ce Camelia Voinea, mama și antrenoarea gimnastei Sabrina Maneca Voinea, a anunțat retragerea acesteia din gimnastică, după ce România a pierdut medalia de bronz la sol, la Jocurile Olimpice 2024 din Paris, în urma unei constestații făcute de echipa SUA. România a încheiat, luni, participarea în competițiile de gimnastică artistică de la Jocurile Olimpice fără medalie. În finala de la sol, Sabrina Maneca Voinea s-a clasat pe locul , iar Ana Maria Bărbosu pe poziția a -a, cu aceeași notă – .. Pentru câteva minute a avut medalie de bronz, dar americanii au făcut contestație la nota lui Jordan Chiles, care a trecut pe , cu .. Sabrina Maneca Voinea a fost notată inițial cu . pentru exercițiul de la sol, dar antrenorii au depus contestație, însă nu s-a modificat nota, încheind pe locul . La rândul său, Ana Maria Bărbosu a încheiat pe , cu .. Pentru câteva minute a avut medalie de bronz, dar americanii au făcut contestație la nota lui Jordan Chiles, care a trecut pe , cu .. Medalia de aur a revenit gimnastei Rebeca Andrade (Brazilia, .), urmată de Simone Biles (SUA, .). În finala de la sol au participat gimnaste, după ce în calificări Ana Maria Bărbosu și Rina Kishi (Japonia) au avut aceeași notă – . și nu au putut fi departajate. Tot luni, la bârnă, Sabrina Maneca Voinea a fost pe locul , după ce a căzut de două ori de pe aparat. CITEȘTE ȘI:",unbiased
